year;title;studios;producers;winner
1980;Can't Stop the Music;Associated Film Distribution;Allan Carr;yes
1980;Cruising;Lorimar Productions, United Artists;Jerry Weintraub;
1980;The Formula;MGM, United Artists;Steve Shagan;
1980;Friday the 13th;Paramount Pictures;Sean S. Cunningham;
1980;The Nude Bomb;Universal Studios;Jennings Lang;
1980;The Jazz Singer;Associated Film Distribution;Jerry Leider;
1984;Bolero;Cannon Films;Bo Derek;yes
1985;Rambo: First Blood Part II;Columbia Pictures;Buzz Feitshans;yes
1989;Star Trek V: The Final Frontier;Paramount Pictures;Harve Bennett;yes
1990;The Adventures of Ford Fairlane;20th Century Fox;Steven Perry and Joel Silver;yes
1990;Ghosts Can't Do It;Triumph Releasing;Bo Derek;yes
1991;Hudson Hawk;TriStar Pictures;Joel Silver;yes
1994;Color of Night;Hollywood Pictures;Buzz Feitshans and David Matalon;yes
1995;Showgirls;MGM, United Artists;Charles Evans and Alan Marshall;yes
2000;Battlefield Earth;Warner Bros., Franchise Pictures;Jonathan D. Krane, Elie Samaha and John Travolta;yes
2001;Freddy Got Fingered;20th Century Fox;Larry Brezner, Howard Lapides and Lauren Lloyd;yes
2002;Swept Away;Screen Gems;Matthew Vaughn;yes
2005;Dirty Love;First Look Pictures;John Mallory Asher, BJ Davis, Rod Hamilton, Kimberley Kates, Michael Manasseri, Jenny McCarthy and Trent Walford;yes
2015;Fantastic Four;20th Century Fox;Simon Kinberg, Matthew Vaughn, Hutch Parker, Robert Kulzer and Gregory Goodman;yes
1980;Raise the Titanic;Associated Film Distribution;William Frye;
